Titel;Stand;Datum
Bundesgesetz über die Ziele im Klimaschutz, die Innovation und die Stärkung der Energiesicherheit (KlG);Inkrafttreten am; 01.01.2024
Bundesgesetz über die Alters- und Hinterlassenenversicherung (AHVG) (AHV 21);Inkrafttreten am; 01.01.2024
Bundesgesetz über Filmproduktion und Filmkultur (Filmgesetz, FiG);Inkrafttreten am; 01.01.2024
Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes);Inkrafttreten am; 01.01.2025
Bundesgesetz über den Jugendschutz in den Bereichen Film und Videospiele (JSFVG);Inkrafttreten am; 01.01.2025
Bundesgesetz über die Krankenversicherung (KVG) (Einheitliche Finanzierung der Leistungen);Inkrafttreten am; 01.01.2028
Bundesgesetz betreffend den schweizerischen Zolltarif;Inkrafttreten am; 01.02.1892
Bundesgesetz über den Strassenverkehr;Inkrafttreten am; 01.02.1991
Bundesgesetz über den Geschäftsverkehr der Bundesversammlung sowie über die Form, die Bekanntmachung und das Inkrafttreten ihrer Erlasse (Geschäftsverkehrsgesetz);Inkrafttreten am; 01.02.1992
Bundesgesetz über Zwangsmassnahmen im Ausländerrecht;Inkrafttreten am; 01.02.1995
Bundesgesetz über den unlauteren Wettbewerb;Inkrafttreten am; 01.03.1945
Bundesbeschluss über die inländische Zuckerwirtschaft;Inkrafttreten am; 01.03.1970
Bundesgesetz über die Forschung an embryonalen Stammzellen (Stammzellenforschungsgesetz, StFG);Inkrafttreten am; 01.03.2005
Bundesbeschluss über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und an Dublin;Inkrafttreten am; 01.03.2008
Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der Europäischen Gemeinschaft betreffend die Übernahme der Verordnung (EG) Nr. 2252/2004 über biometrische Pässe und Reisedokumente (Weiterentwicklung des Schengen-Besitzstands);Inkrafttreten am; 01.03.2010
Bundesgesetz betreffend die Überwachung des Post- und Fernmeldeverkehrs (BÜPF);Inkrafttreten am; 01.03.2018
Bundesbeschluss über den Rebbau;Abgestimmt am; 01.04.1990
Bundesgesetz über die Organisation der Bundesrechtspflege;Abgestimmt am; 01.04.1990
Bundesbeschluss über Massnahmen in der Arbeitslosenversicherung;Inkrafttreten am; 01.04.1993
Bundesgesetz über die Stempelabgaben;Inkrafttreten am; 01.04.1993
Bundesbeschluss über die Genehmigung und Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf die neuen EG-Mitgliedstaaten zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft und ihren Mitgliedstaaten andererseits sowie über die Genehmigung der Revision der flankierenden Massnahmen zur Personenfreizügigkeit;Inkrafttreten am; 01.04.2006
Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz);Inkrafttreten am; 01.04.2006
Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG);Inkrafttreten am; 01.04.2011
Milchwirtschaftsbeschluss 1977 (MWB 1977);Inkrafttreten am; 01.05.1979
Tierseuchengesetz (TSG);Inkrafttreten am; 01.05.2013
Bundesgesetz über die Raumplanung (Raumplanungsgesetz, RPG);Inkrafttreten am; 01.05.2014
Bundesgesetz über die Eidgenössischen Technischen Hochschulen;Abgestimmt am; 01.06.1969
Bundesgesetz über die Ein- und Ausfuhr von Erzeugnissen aus Landwirtschaftsprodukten;Inkrafttreten am; 01.06.1976
Bundesbeschluss über die Genehmigung der sektoriellen Abkommen zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft sowie gegebenenfalls ihrer Mitgliedstaaten oder der Europäischen Atomgemeinschaft andererseits;Inkrafttreten am; 01.06.2002
Bundesgesetz über die Zusammenarbeit mit den Staaten Osteuropas;Inkrafttreten am; 01.06.2007
Bundesbeschluss über die Genehmigung der Weiterführung des Freizügigkeitsabkommens zwischen der Schweiz und der Europäischen Gemeinschaft und ihren Mitgliedstaaten sowie über die Genehmigung und die Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf Bulgarien und Rumänien;Inkrafttreten am; 01.06.2009
Bundesgesetz betreffend den Verkehr mit Lebensmitteln und Gebrauchsgegenständen;Inkrafttreten am; 01.07.1909
Bundesgesetz betreffend Abänderung von Art.14 des Bundesgesetzes vom 10. Oktober 1902 betreffend den schweizerischen Zolltarif;Inkrafttreten am; 01.07.1929
Bundesgesetz über die politischen Rechte;Inkrafttreten am; 01.07.1978
Bundesbeschluss zum Atomgesetz;Inkrafttreten am; 01.07.1979
Bundesgesetz über den Strassenverkehr;Inkrafttreten am; 01.07.1981
Tierschutzgesetz (TschG);Inkrafttreten am; 01.07.1981
Schweizerisches Strafgesetzbuch;Inkrafttreten am; 01.07.1988
Bundesbeschluss über dringliche Massnahmen im Asyl- und Ausländerbereich (BMA);Inkrafttreten am; 01.07.1998
Bundesgesetz über Massnahmen zur Wahrung der inneren Sicherheit (BWIS);Inkrafttreten am; 01.07.1998
Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG);Inkrafttreten am; 01.07.2003
Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG);Inkrafttreten am; 01.07.2005
Bundesgesetz über die technischen Handelshemmnisse (THG);Inkrafttreten am; 01.07.2010
Bundesgesetz über Radio und Fernsehen (RTVG);Inkrafttreten am; 01.07.2016
Bundesgesetz über die Ausländerinnen und Ausländer (Ausländergesetz, AuG) (Steuerung der Zuwanderung und Vollzugsverbesserungen bei den Freizügigkeitsabkommen);Inkrafttreten am; 01.07.2018
Strafgesetzbuch und Militärstrafgesetz (Diskriminierung und Aufruf zu Hass aufgrund der sexuellen Orientierung);Inkrafttreten am; 01.07.2020
Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz);Inkrafttreten am; 01.08.2000
Bundesgesetz über die Förderung der Nutzung von Informations- und Kommunikationstechnologien in den Schulen;Inkrafttreten am; 01.08.2002
Zolltarifgesetz;Inkrafttreten am; 01.09.1978
Bundesgesetz über die Raumplanung (Raumplanungsgesetz, RPG);Inkrafttreten am; 01.09.2000
Bundesgesetz über die Armee und die Militärverwaltung (Militärgesetz, MG) (Bewaffnung);Inkrafttreten am; 01.09.2001
Bundesgesetz über die Armee und die Militärverwaltung (Militärgesetz, MG) (Ausbildungszusammenarbeit);Inkrafttreten am; 01.09.2001
Bundesgesetz über den Strassentransitverkehr im Alpengebiet (STVG) (Sanierung Gotthard-Strassentunnel);Inkrafttreten am; 01.09.2016
Bundesgesetz über den Nachrichtendienst (Nachrichtendienstgesetz, NDG);Inkrafttreten am; 01.09.2017
Bundesgesetz über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz, FMedG);Inkrafttreten am; 01.09.2017
Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustausches zwischen der Schweiz und der EU betreffend die Übernahme der Verordnung (EU) 2019/1896 über die Europäische Grenz- und Küstenwache und zur Aufhebung der Verordnungen (EU) Nr. 1052/2013 und (EU) 2016/1624 (Weiterentwicklung des Schengen-Besitzstands);Inkrafttreten am; 01.09.2022
Bundesgesetz über die Neuordnung der Landwehrtruppen der Infanterie;Inkrafttreten am; 01.10.1897
Bundesbeschluss über die Finanzierung der Nationalstrassen;Inkrafttreten am; 01.10.1975
Militärstrafgesetz;Inkrafttreten am; 01.10.1982
Schweizerisches Strafgesetzbuch (StGB);Inkrafttreten am; 01.10.1982
Schweizerisches Strafgesetzbuch. Militärstrafgesetz (Strafbare Handlungen gegen die sexuelle Integrität);Inkrafttreten am; 01.10.1992
Asylgesetz (AsylG);Inkrafttreten am; 01.10.1999
Schweizerisches Strafgesetzbuch (Schwangerschaftsabbruch);Inkrafttreten am; 01.10.2002
Asylgesetz (AsylG);Inkrafttreten am; 01.10.2016
Bundesgesetz über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) (Gesetzliche Grundlage für die Überwachung von Versicherten);Inkrafttreten am; 01.10.2019
Bundesgesetz über polizeiliche Massnahmen zur Bekämpfung von Terrorismus (PMT);Inkrafttreten am; 01.10.2021
Bundesgesetz über das Rechnungswesen der Eisenbahnen;Inkrafttreten am; 01.11.1896
Bundesbeschluss betreffend die Aenderung des Bundesbeschlusses über zusätzliche wirtschaftliche und finanzielle Massnahmen auf dem Gebiete der Milchwirtschaft;Inkrafttreten am; 01.11.1960
Bundesgesetz über den Schutz der Gewässer (Gewässerschutzgesetz, GSchG);Inkrafttreten am; 01.11.1992
Bundesgesetz über den Motorfahrzeug- und Fahrradverkehr;Inkrafttreten am; 01.12.1932
Bundesgesetz über die Abänderung der Art. 103 und 104 des Bundesgesetze betreffend die Militärorganisation (Einführung des obligatorischen militärischen Vorunterrichts);Abgestimmt am; 01.12.1940
Bundesgesetz betreffend die Abänderung von Bestimmungen über die fiskalische Belastung des Tabaks im Bundesgesetz über die Alters- und Hinterlassenenversicherung;Inkrafttreten am; 01.12.1952
Bundesbeschluss über den Bau der schweizerischen Eisenbahn-Alpentransversale (Alpentransit-Beschluss);Inkrafttreten am; 01.12.1992
Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz);Abgestimmt am; 01.12.1996
Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz, ArG);Inkrafttreten am; 01.12.2013
