Titel;Stand;Datum
Schweizerisches Zivilgesetzbuch (Ehe für alle);Abgestimmt am; 26.09.2021
Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung;Abgestimmt am; 26.11.1882
Bundesgesetz betreffend gebrannte Wasser;Inkrafttreten am; 27.05.1887
Bundesgesetz über die Abänderung des Bundesgesetzes betreffend die Taggelder und Reiseentschädigungen des Nationalrates und der Kommission der eidgenössischen Räte;Abgestimmt am; 27.05.1962
Bundesgesetz über die Beiträge an die Infrastrukturkosten der Fraktionen und der Mitglieder der eidgenössischen Räte (Infrastrukturgesetz);Abgestimmt am; 27.09.1992
Bundesgesetz über die Bezüge der Mitglieder der eidgenössischen Räte und über die Beiträge an die Fraktionen (Entschädigungsgesetz);Abgestimmt am; 27.09.1992
Bundesbeschluss über die Beschaffung neuer Kampfflugzeuge;Abgestimmt am; 27.09.2020
Bundesgesetz über die Jagd und den Schutz wildlebender Säugetiere und Vögel (Jagdgesetz, JSG);Abgestimmt am; 27.09.2020
Bundesgesetz über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten);Abgestimmt am; 27.09.2020
Bundesgesetz über die Errichtung der schweizerischen Bundesbank;Abgestimmt am; 28.02.1897
Bundesgesetz über die vorübergehende Herabsetzung der Besoldungen, Gehälter und Löhne der im Dienste des Bundes stehenden Personen;Abgestimmt am; 28.05.1933
Bundesgesetz über die Förderung der Hochschulen und die Forschung (HFG);Abgestimmt am; 28.05.1978
Zeitgesetz;Abgestimmt am; 28.05.1978
Bundesgesetz über den Schutz der Schwangerschaft und die Strafbarkeit des Schwangerschaftsabbruchs;Abgestimmt am; 28.05.1978
Bundesbeschluss über die inländische Zuckerwirtschaft;Abgestimmt am; 28.09.1986
Bundesbeschluss betreffend die Verlängerung der Geltungsdauer und die Abänderung des Bundesbeschlusses über Massnahmen zur Förderung der Wohnbautätigkeit;Abgestimmt am; 29.01.1950
Bundesgesetz über die Mitwirkung der Schweiz an den Institutionen von Bretton Woods;Inkrafttreten am; 29.05.1992
Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes);Inkrafttreten am; 29.09.2012
Bundesgesetz über die Umsetzung des FATCA-Abkommens zwischen der Schweiz und den Vereinigten Staaten (FATCA-Gesetz);Inkrafttreten am; 30.06.2014
Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien;Abgestimmt am; 30.07.1882
Bundesgesez betreffend Erhöhung des Eingangszolles auf einzelnen Waarengattungen;Inkrafttreten am; 30.10.1879
Bundesbeschluss über die Genehmigung des Abkommens zwischen der Schweiz und Deutschland über Zusammenarbeit in den Bereichen Steuern und Finanzmarkt und des Protokolls zur Änderung dieses Abkommens;Ref. nicht zustandegekommen; 30.10.2012
Bundesgesetz über die Betäubungsmittel und die psychotropen Stoffe (Betäubungsmittelgesetz, BetmG);Abgestimmt am; 30.11.2008
Bundesbeschluss über die Festsetzung des Beitrages des Bundes an die Alters- und Hinterlassenenversicherung;Inkrafttreten am; 31.01.1975
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
