"Kanton","Periode","Obligatorisches Referendum Angenommen","Obligatorisches Referendum Verworfen","Obligatorisches Referendum Total","Fakultatives Referendum Angenommen","Fakultatives Referendum Verworfen","Fakultatives Referendum Total","Volksinitiative Angenommen","Volksinitiative Verworfen","Volksinitiative Total","Alle Vorlagentypen Angenommen","Alle Vorlagentypen Verworfen","Alle Vorlagentypen Total"
"Schweiz","Jahr: 1893",0,0,0,0,0,0,1,0,1,1,0,1
"Schweiz","Jahr: 1891",2,0,2,1,2,3,0,0,0,3,2,5
"Schweiz","Jahr: 1890",1,0,1,0,0,0,0,0,0,1,0,1
"Schweiz","Jahr: 1889",0,0,0,1,0,1,0,0,0,1,0,1
"Schweiz","Jahr: 1887",1,0,1,1,0,1,0,0,0,2,0,2
"Schweiz","Jahr: 1885",1,0,1,0,0,0,0,0,0,1,0,1
"Schweiz","Jahr: 1884",0,0,0,0,4,4,0,0,0,0,4,4
"Schweiz","Jahr: 1882",0,1,1,0,2,2,0,0,0,0,3,3
"Schweiz","Jahr: 1880",0,1,1,0,0,0,0,0,0,0,1,1
"Schweiz","Jahr: 1879",1,0,1,1,0,1,0,0,0,2,0,2
"Schweiz","Jahr: 1877",0,0,0,1,2,3,0,0,0,1,2,3
"Schweiz","Jahr: 1876",0,0,0,0,2,2,0,0,0,0,2,2
"Schweiz","Jahr: 1875",0,0,0,1,1,2,0,0,0,1,1,2
"Schweiz","Jahr: 1874",1,0,1,0,0,0,0,0,0,1,0,1
"Schweiz","Jahr: 1872",0,1,1,0,0,0,0,0,0,0,1,1
"Schweiz","Jahr: 1866",1,8,9,0,0,0,0,0,0,1,8,9
"Schweiz","Jahr: 1848",1,0,1,0,0,0,0,0,0,1,0,1
